"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000274274.2",1496.95994575793,-10.0326857518258,1.88587159016325,-5.3199198737372,1.03812962902182e-07,1.46973988690604e-05,"GAGE13","645051"
"ENSG00000182580.3",351.594827077053,-2.245056045304,0.42471122813561,-5.28607650699348,1.24967645253572e-07,1.75593635676598e-05,"EPHB3","2049"
"ENSG00000167165.19",193.796521087836,2.3925192174126,0.458747097846716,5.21533373975051,1.83486572720536e-07,2.55895303806073e-05,"UGT1A6","54578"
"ENSG00000148346.12",425.156713767056,-2.59589065077087,0.501974088771558,-5.17136383896545,2.32391577865125e-07,3.21698800529144e-05,"LCN2","3934"
"ENSG00000279095.1",13.5397843813034,7.35548943322211,1.42688416236753,5.15493102188315,2.53724308891245e-07,3.48647050335264e-05,NA,NA
"ENSG00000267978.6",31.5312020413301,-7.32848518467763,1.42216977373401,-5.15303117815265,2.56309331091103e-07,3.49628378060623e-05,"MAGEA9B","728269"
"ENSG00000261371.6",25.124074909907,-7.00052354953545,1.36082045752097,-5.14434032119742,2.68462483060944e-07,3.63318068370491e-05,"PECAM1","5175"
"ENSG00000074657.14",319.679566650584,-1.71868689376995,0.334172962401267,-5.14310577797789,2.70233366350055e-07,3.63318068370491e-05,"ZNF532","55205"
"ENSG00000259674.1",24.5123748438226,-4.41461362462045,0.862198739278548,-5.12018102498551,3.05242504697863e-07,4.07455137699547e-05,NA,NA
"ENSG00000272087.1",56.7811450797663,-3.3653842683348,0.658158411686128,-5.11333473610565,3.16520680522485e-07,4.19513367205971e-05,NA,NA
"ENSG00000009694.13",193.415424024026,-7.7337776418632,1.51717743307138,-5.09747737692547,3.44209535846166e-07,4.5299914126008e-05,"TENM1","10178"
"ENSG00000228295.2",24.1854121475168,-6.03255484018517,1.18732875899165,-5.0807788445286,3.75890526732163e-07,4.91233717732214e-05,NA,NA
"ENSG00000173546.7",37.7865929315602,-3.90774630492586,0.769808062683094,-5.07626055682734,3.84935346686582e-07,4.99560538811031e-05,"CSPG4","1464"
"ENSG00000276476.4",23.811466819838,-4.37861213825044,0.864880881267432,-5.06267652932025,4.13410961495735e-07,5.32815451616021e-05,"LINC00540","100506622"
"ENSG00000172137.19",171.431583923349,-6.41027615409927,1.27088175983303,-5.04395952219936,4.55995803626428e-07,5.83674628641828e-05,"CALB2","794"
"ENSG00000104783.15",165.282840388801,-2.40714089979632,0.478858083451885,-5.02683568050948,4.98639266595844e-07,6.33916368309057e-05,"KCNN4","3783"
"ENSG00000183741.12",97.9992150149883,-2.30426341461853,0.458609030502064,-5.02446149413134,5.04847074517941e-07,6.37471765445357e-05,"CBX6","23466"
"ENSG00000288550.2",22.1370642286495,6.17498109348596,1.2294106451981,5.02271646793084,5.09457262925151e-07,6.38975659701021e-05,NA,NA
"ENSG00000183486.14",47.5601807553559,-2.80274674009637,0.559381459948964,-5.01043910241874,5.43059814494791e-07,6.73575873872367e-05,"MX2","4600"
"ENSG00000163879.11",25.9011113238666,-4.27030804981019,0.852354033452239,-5.01001682659307,5.44252766238909e-07,6.73575873872367e-05,"DNALI1","7802"
