"control_S0_L001_quant","control_S64_L001_quant","control_S40_L001_quant","case_S110_L001_quant","case_S65_L001_quant","case_S52_L001_quant"
"ENSG00000013375.16",1361,1430,1490,1364,1176,1382
"ENSG00000013392.8",219,258,230,139,191,204
"ENSG00000013441.17",1938,2802,3718,1024,2353,3421
"ENSG00000013503.10",97,130,138,199,219,149
"ENSG00000013523.11",134,118,118,119,211,148
"ENSG00000013561.18",637,743,872,800,620,839
"ENSG00000013563.14",394,386,345,732,318,222
"ENSG00000013573.17",473,459,523,661,1041,469
"ENSG00000013583.10",517,558,585,847,419,474
"ENSG00000013588.9",7735,7266,8608,19010,9814,5395
"ENSG00000013619.15",83,114,67,98,12,59
"ENSG00000013725.14",2,0,2,1,2,5
"ENSG00000013810.21",602,719,779,2022,1510,769
"ENSG00000014123.10",1612,1819,1733,865,1215,2213
"ENSG00000014138.9",99,139,155,297,301,139
"ENSG00000014164.7",261,257,239,735,454,209
"ENSG00000014216.16",3584,2479,2162,6434,3212,1672
"ENSG00000014257.16",3,1,2,1,3,0
"ENSG00000014641.21",3123,5090,6298,3329,4377,6202
"ENSG00000014824.14",2307,3237,3314,1976,2345,2686
"ENSG00000014914.21",74,131,120,107,128,77
"ENSG00000014919.13",473,574,496,815,563,422
"ENSG00000015133.20",370,350,353,802,785,586
"ENSG00000015153.15",512,728,779,320,511,713
"ENSG00000015171.20",1234,1426,1492,1151,1190,1451
"ENSG00000015285.11",1,3,1,5,4,4
"ENSG00000015413.10",32,41,142,129,171,56
"ENSG00000015475.19",848,1084,1106,997,1214,1047
"ENSG00000015479.20",6035,7462,7514,5280,6106,8267
"ENSG00000015520.15",6,3,12,37,63,68
"ENSG00000015532.10",320,378,281,464,463,302
"ENSG00000015568.13",1169,1063,1071,721,1561,1476
"ENSG00000015592.17",0,2,0,0,0,0
"ENSG00000015676.18",558,420,354,1037,769,366
"ENSG00000016082.15",23,46,45,41,75,33
"ENSG00000016391.11",329,204,212,454,329,284
"ENSG00000016402.14",793,1644,1349,1321,1190,1066
"ENSG00000016490.16",3,0,1,13,46,0
"ENSG00000016602.9",0,0,0,0,1,0
"ENSG00000016864.19",392,523,554,593,667,682
"ENSG00000017260.20",1294,1872,2172,2128,1596,1715
"ENSG00000017427.17",0,1,0,1,0,4
"ENSG00000017483.16",745,846,1294,2197,834,304
"ENSG00000017797.13",2547,2050,2437,4026,2547,1815
"ENSG00000018189.13",365,412,469,380,563,412
"ENSG00000018236.15",0,0,0,0,5,2
"ENSG00000018280.17",94,69,73,87,57,91
"ENSG00000018408.15",605,937,971,599,717,1624
"ENSG00000018510.18",1103,1737,1692,1019,1497,2110
"ENSG00000018607.8",0,0,0,0,0,0
"ENSG00000018610.15",403,381,379,481,448,450
"ENSG00000018625.15",0,0,0,1,5,0
"ENSG00000018699.13",247,328,420,507,509,377
"ENSG00000018869.18",0,0,0,0,0,0
"ENSG00000019102.12",198,42,101,845,119,226
"ENSG00000019144.20",40,44,42,98,55,120
"ENSG00000019169.11",0,0,0,0,0,0
"ENSG00000019186.10",0,0,0,0,1,2
"ENSG00000019485.14",53,48,44,78,61,52
"ENSG00000019505.8",1,5,8,4,2,4
"ENSG00000019549.13",2,3,3,18,7,22
"ENSG00000019582.17",8,11,15,153,26,75
"ENSG00000019991.18",26,27,37,8,12,21
"ENSG00000019995.6",412,293,432,470,260,254
"ENSG00000020129.16",151,125,137,414,241,148
"ENSG00000020181.18",2,9,10,8,0,2
"ENSG00000020219.9",0,0,0,0,1,0
"ENSG00000020256.20",404,332,344,362,389,325
"ENSG00000020426.11",349,485,571,557,486,845
"ENSG00000020577.14",405,416,381,248,374,602
"ENSG00000020633.19",2,0,5,9,10,3
"ENSG00000020922.13",278,260,302,179,337,379
"ENSG00000021300.14",17,21,27,112,33,36
"ENSG00000021355.13",4051,6286,7890,6180,3665,4745
"ENSG00000021461.18",0,0,2,0,0,0
"ENSG00000021488.13",1,0,2,0,0,2
"ENSG00000021574.13",746,1069,1055,378,769,1231
"ENSG00000021645.20",0,0,3,8,3,3
"ENSG00000021762.20",222,162,189,537,387,219
"ENSG00000021776.11",407,438,442,839,588,513
"ENSG00000021826.18",20,8,49,20,46,40
"ENSG00000021852.13",0,0,0,0,0,0
"ENSG00000022267.19",18,13,17,41,23,84
"ENSG00000022277.13",1034,822,812,2356,1301,731
"ENSG00000022355.18",0,0,0,0,0,1
"ENSG00000022556.16",4,4,8,1,14,6
"ENSG00000022567.10",1351,1399,1497,3251,1486,809
"ENSG00000022840.17",1313,1056,996,2499,1268,890
"ENSG00000022976.16",72,78,64,94,111,106
"ENSG00000023041.12",441,520,579,916,729,498
"ENSG00000023171.20",8,8,21,59,37,48
"ENSG00000023191.17",1873,1513,1446,2896,1787,1339
"ENSG00000023228.14",1948,2741,3055,2390,2540,2270
"ENSG00000023287.13",3243,4923,6965,2286,3232,6458
"ENSG00000023318.9",1099,1105,1224,1509,1065,1107
"ENSG00000023330.15",891,814,686,2480,1267,760
"ENSG00000023445.16",668,755,856,828,793,819
"ENSG00000023516.9",1170,1662,1490,630,1241,1908
"ENSG00000023572.10",677,1127,1041,484,1138,1358
"ENSG00000023608.5",1626,2610,2556,709,1449,3683
"ENSG00000023697.13",494,501,536,775,517,412
"ENSG00000023734.11",4230,5187,6221,4865,4731,5234
"ENSG00000023839.12",22,24,20,10,29,21
"ENSG00000023892.11",92,100,98,218,188,142
"ENSG00000023902.14",193,160,170,215,250,167
"ENSG00000023909.10",980,1116,980,715,1348,1697
"ENSG00000024048.11",592,764,801,780,701,752
"ENSG00000024422.12",319,341,299,1428,399,318
"ENSG00000024526.17",1605,3717,2405,599,2173,3000
"ENSG00000024862.18",368,394,449,427,383,452
"ENSG00000025039.15",0,0,5,2,87,0
"ENSG00000025156.13",211,159,166,163,204,175
"ENSG00000025293.17",626,565,695,843,614,741
"ENSG00000025423.11",2,12,9,5,11,12
"ENSG00000025434.19",134,107,88,185,202,100
"ENSG00000025708.14",273,326,279,1818,889,1477
"ENSG00000025770.19",612,674,614,1104,1320,855
"ENSG00000025772.8",443,435,409,1334,692,335
"ENSG00000025796.14",1785,1744,2145,1913,1822,2078
"ENSG00000025800.14",677,654,716,1674,907,525
"ENSG00000026025.16",9847,12643,13096,19252,6142,10764
"ENSG00000026036.22",122,35,94,51,215,204
"ENSG00000026103.23",827,1104,752,331,470,509
"ENSG00000026297.17",1151,886,878,5359,1301,2111
"ENSG00000026508.21",665,795,1084,2786,5915,7004
"ENSG00000026559.14",1,3,1,1,2,2
"ENSG00000026652.15",13,11,30,51,43,44
"ENSG00000026751.17",12,0,0,0,0,1
"ENSG00000026950.17",256,234,204,310,253,204
"ENSG00000027001.10",286,277,271,462,353,247
"ENSG00000027075.17",48,42,46,125,70,78
"ENSG00000027644.5",0,0,0,0,2,0
"ENSG00000027697.15",2423,3127,2725,1931,2048,2312
"ENSG00000027847.14",198,193,185,397,349,207
"ENSG00000027869.12",14,25,29,66,37,13
"ENSG00000028116.18",407,641,781,424,570,504
"ENSG00000028137.19",49,63,68,135,130,36
"ENSG00000028203.19",1083,1198,1531,1377,987,1539
"ENSG00000028277.22",50,26,30,42,58,74
"ENSG00000028310.18",648,454,472,733,988,523
"ENSG00000028528.15",918,996,858,1552,1286,926
"ENSG00000028839.10",242,376,350,319,412,414
"ENSG00000029153.15",808,1041,1058,871,651,578
"ENSG00000029363.17",3420,3282,3867,3137,3479,3701
"ENSG00000029364.12",1383,1362,1194,2078,1494,1282
"ENSG00000029534.21",0,0,2,7,0,8
"ENSG00000029559.7",0,0,0,0,0,0
"ENSG00000029639.11",212,360,466,438,378,412
"ENSG00000029725.17",571,691,745,602,662,666
"ENSG00000029993.15",711,727,663,1616,1340,668
"ENSG00000030066.13",482,778,856,544,828,848
"ENSG00000030110.14",1142,1160,860,1305,1601,1012
"ENSG00000030304.15",0,0,1,0,0,1
"ENSG00000030419.17",304,377,455,167,305,554
"ENSG00000030582.18",5728,4694,4282,12648,7539,4272
"ENSG00000031003.11",378,451,442,324,478,493
"ENSG00000031081.11",34,20,10,61,23,31
"ENSG00000031691.7",993,1576,1150,304,1165,1758
"ENSG00000031698.13",2765,2341,1823,4122,2207,1374
"ENSG00000031823.14",633,471,489,1110,804,459
"ENSG00000032219.19",1098,1322,1676,856,1172,1950
"ENSG00000032389.13",520,448,419,814,637,343
"ENSG00000032444.17",306,324,249,573,236,241
"ENSG00000032742.18",158,229,215,240,316,266
"ENSG00000033011.14",591,561,513,981,1019,585
"ENSG00000033030.15",578,1068,1253,584,817,972
"ENSG00000033050.9",275,237,329,892,584,296
"ENSG00000033100.17",799,489,568,838,732,478
"ENSG00000033122.21",7,11,14,4,15,25
"ENSG00000033170.17",149,196,248,206,149,395
"ENSG00000033178.13",1816,2972,3342,1352,2283,3213
"ENSG00000033327.13",469,227,209,490,247,132
"ENSG00000033627.17",342,235,223,690,655,322
"ENSG00000033800.14",1836,1864,2366,1147,1348,1479
"ENSG00000033867.17",452,758,677,276,608,1139
"ENSG00000034053.15",0,0,0,1,1,1
"ENSG00000034152.19",1216,940,974,2913,1910,939
"ENSG00000034239.11",0,0,0,0,0,0
"ENSG00000034510.6",59392,71560,83644,95705,77716,55441
"ENSG00000034533.12",79,73,70,76,72,46
"ENSG00000034677.13",1566,2104,2130,1756,1839,2184
"ENSG00000034693.15",385,606,588,347,552,797
"ENSG00000034713.8",1631,1670,2261,1698,1535,2034
"ENSG00000034971.17",0,0,0,0,0,0
"ENSG00000035115.22",811,1029,1084,734,633,1215
"ENSG00000035141.8",1250,1279,1723,2341,2257,1282
"ENSG00000035403.18",2526,3827,4272,4618,3318,2812
"ENSG00000035499.13",433,1089,1113,415,943,1287
"ENSG00000035664.11",15,5,12,13,15,25
"ENSG00000035681.9",620,738,950,810,1078,713
"ENSG00000035687.10",960,1197,1222,1560,1205,1137
"ENSG00000035720.8",0,0,0,1,1,2
"ENSG00000035862.12",95,65,122,1024,107,119
"ENSG00000035928.17",904,991,1447,1393,1253,1369
"ENSG00000036054.13",2317,2432,2839,917,1809,3183
"ENSG00000036257.14",2072,2456,2449,1972,2353,2873
"ENSG00000036448.10",4,2,1,4,1,4
"ENSG00000036473.8",0,1,0,1,1,0
"ENSG00000036530.9",2,2,2,2,7,12
"ENSG00000036549.13",778,968,1018,765,825,1095
"ENSG00000036565.15",4,0,0,0,0,0
"ENSG00000036672.16",4,7,1,10,7,3
"ENSG00000036828.17",13,14,14,2,23,38
"ENSG00000037042.9",88,40,35,88,131,69
"ENSG00000037241.7",704,846,943,880,1240,1035
